feature,importance
B01001B_027E,0.98504287
B01001B_029E,0.01495713
B01001B_028E_scaled,0.0
B01001B_025E_scaled,0.0
B01001B_026E_scaled,0.0
B01001B_022E_scaled,0.0
B01001B_023E_scaled,0.0
B01001B_024E_scaled,0.0
B01001B_020E_scaled,0.0
B01001B_021E_scaled,0.0
B01001B_019E_scaled,0.0
B01001B_017E_scaled,0.0
B01001B_018E_scaled,0.0
B01001B_015E_scaled,0.0
B01001B_016E_scaled,0.0
B01001B_013E_scaled,0.0
B01001B_014E_scaled,0.0
B01001B_010E_scaled,0.0
B01001B_011E_scaled,0.0
B01001B_027E_scaled,0.0
B01001B_029E_scaled,0.0
B01001B_012E,0.0
B01001B_021E,0.0
B01001B_028E,0.0
B01001B_025E,0.0
B01001B_026E,0.0
B01001B_022E,0.0
B01001B_023E,0.0
B01001B_024E,0.0
B01001B_020E,0.0
B01001B_019E,0.0
B01001B_011E,0.0
B01001B_017E,0.0
B01001B_018E,0.0
B01001B_015E,0.0
B01001B_016E,0.0
B01001B_013E,0.0
B01001B_014E,0.0
B01001B_010E,0.0
B01001B_012E_scaled,0.0
